block, tx
0, 0
1, 4
2, 4
3, 4
4, 4
5, 3
6, 4
7, 4
8, 4
9, 3
10, 5
11, 3
12, 5
13, 4
14, 5
15, 4
16, 4
17, 4
18, 4
19, 3
20, 5
21, 4
22, 4
23, 4
24, 3
25, 4
26, 4
27, 4
28, 5
29, 3
30, 4
31, 5
32, 4
33, 2
34, 5
35, 3
36, 6
37, 4
38, 3
39, 5
40, 4
41, 1
42, 5
43, 4
44, 6
45, 4
46, 3
47, 5
48, 4
49, 4
50, 1
51, 5
52, 6
53, 2
54, 6
55, 4
56, 4
57, 2
58, 4
59, 4
60, 5
61, 3
62, 6
63, 1
64, 7
65, 4
66, 4
67, 2
68, 6
69, 4
70, 2
71, 5
72, 5
73, 4
74, 3
75, 5
76, 4
77, 2
78, 5
79, 4
80, 5
81, 4
82, 4
83, 4
84, 3
85, 5
86, 4
87, 3
88, 5
89, 4
90, 4
91, 4
92, 3
93, 5
94, 4
95, 4
96, 4
97, 4
98, 4
99, 4
100, 4
101, 2
102, 5
103, 4
104, 5
105, 2
106, 4
107, 5
108, 5
109, 4
110, 4
111, 4
112, 4
113, 4
114, 3
115, 4
116, 5
117, 4
118, 4
119, 4
120, 4
121, 2
122, 4
123, 5
124, 5
125, 3
126, 4
127, 5
128, 4
129, 4
130, 4
131, 4
132, 4
133, 3
134, 5
135, 4
136, 4
137, 4
138, 4
139, 4
140, 4
141, 4
142, 4
143, 3
144, 5
145, 4
146, 4
147, 4
148, 4
149, 4
150, 4
151, 4
152, 4
153, 4
154, 4
155, 4
156, 4
157, 4
158, 4
159, 4
160, 3
161, 4
162, 5
163, 4
164, 4
165, 4
166, 4
167, 3
168, 5
169, 4
170, 4
171, 4
172, 4
173, 2
174, 5
175, 5
176, 4
177, 4
178, 4
179, 3
180, 5
181, 3
182, 5
183, 3
184, 5
185, 4
186, 4
187, 4
188, 4
189, 4
190, 2
191, 5
192, 5
193, 3
194, 5
195, 4
196, 4
197, 3
198, 5
199, 4
200, 4
201, 2
202, 5
203, 4
204, 5
205, 4
206, 4
207, 4
208, 4
209, 4
210, 3
211, 5
212, 4
213, 4
214, 4
215, 4
216, 4
217, 4
218, 3
219, 4
220, 5
221, 3
222, 4
223, 5
224, 4
225, 2
226, 5
227, 5
228, 4
229, 4
230, 4
231, 4
232, 4
233, 3
234, 5
235, 4
236, 4
237, 3
238, 5
239, 4
240, 4
241, 4
242, 4
243, 3
244, 5
245, 2
246, 5
247, 5
248, 4
249, 4
250, 4
251, 2
252, 5
253, 5
254, 4
255, 4
256, 4
257, 3
258, 5
259, 4
260, 4
261, 3
262, 4
263, 3
262, 4
263, 3
264, 6
265, 4
266, 4
267, 4
268, 4
269, 4
270, 4
271, 4
272, 4
273, 4
274, 4
275, 4
276, 4
277, 3
278, 5
279, 4
280, 4
281, 4
282, 2
283, 4
284, 6
285, 4
286, 4
287, 4
288, 4
289, 4
290, 3
291, 4
292, 5
293, 4
294, 4
295, 4
296, 4
297, 4
298, 4
299, 4
300, 4
301, 3
302, 4
303, 4
304, 5
305, 4
306, 4
307, 4
308, 2
309, 5
310, 3
311, 4
312, 6
313, 4
314, 4
315, 4
316, 4
317, 1
318, 7
319, 4
320, 4
321, 3
322, 5
323, 4
324, 4
325, 4
326, 4
327, 4
328, 4
329, 2
330, 5
331, 5
332, 4
333, 4
334, 3
335, 5
336, 4
337, 4
338, 4
339, 2
340, 6
341, 4
342, 4
343, 4
344, 4
345, 4
346, 4
347, 4
348, 4
349, 4
350, 4
351, 3
352, 4
353, 4
354, 5
355, 4
356, 4
357, 4
358, 4
359, 4
360, 4
361, 2
362, 5
363, 5
364, 4
365, 3
366, 5
366, 5
367, 2
368, 4
369, 5
370, 4
371, 5
372, 4
373, 4
374, 4
375, 4
376, 4
377, 4
378, 3
379, 4
380, 5
381, 4
382, 4
383, 4
384, 4
385, 2
386, 4
387, 4
388, 6
389, 4
390, 4
391, 4
392, 1
393, 5
394, 5
395, 4
396, 5
397, 3
398, 5
399, 4
400, 4
401, 3
402, 4
403, 4
404, 4
405, 5
406, 4
407, 4
408, 4
409, 3
410, 5
411, 4
412, 4
413, 3
414, 4
415, 4
416, 5
417, 4
418, 4
419, 4
420, 4
421, 3
422, 5
423, 4
424, 4
425, 4
426, 4
427, 4
428, 4
429, 4
430, 4
431, 4
432, 4
433, 4
434, 2
435, 5
436, 5
437, 4
438, 4
439, 4
440, 4
441, 3
442, 4
443, 5
444, 4
445, 4
446, 3
447, 4
448, 5
449, 4
450, 4
451, 4
452, 4
453, 4
454, 4
455, 4
456, 4
457, 1
458, 7
459, 4
460, 4
461, 4
462, 1
463, 5
464, 6
465, 4
466, 4
467, 3
468, 5
469, 3
470, 5
471, 4
472, 4
473, 4
474, 4
475, 2
476, 6
477, 4
478, 4
479, 4
480, 4
481, 4
