_id,blockTime,confirmationStatus,err,err.InstructionError,memo,signature,slot
647712db44593c7a129f17c5,1685520953,finalized,null,,null,2SrmxvA5z3qFHVnfg7uomztSFkQRQ3kdMhcb34EB1n6WPrY56MAwcamEbiiaLEVzVDDacu16T2YzhyjNr1B38r1s,196959791
647712db44593c7a129f17c6,1685520861,finalized,null,,null,2zj4BSQKqkLYPcuoW7MKSBpw8AUhxxJFj6ogycew1eXyexNyzc9hCfhmJ3ASGa288uHVXH1xVDFtouUeN3vzafyb,196959598
647712db44593c7a129f17c7,1685520848,finalized,,"[3,{""Custom"":3012}]",null,2vbJc32iMprHNB29TmVSscTrdUtwQwbsNYXUM9qVdApX9WjnH5HCwg7h5pgLTw1zLA8ySoHci3gZJaPzpAUqRLgZ,196959569
647712db44593c7a129f17c8,1685520846,finalized,null,,null,5GjFk1U24YWroe2RCY7CaxX26n6HkLrgvjybAA7EMSfV9hPn7H9H8nrj4wUnKG3JGbst55bBvQkeWWcsD5Y3BGNL,196959563
647712db44593c7a129f17c9,1685520834,finalized,null,,null,4bQgFMgzhvuawY3phaF2kSPjCHLuwzwfYhs4gTkXHDfefiHVs22DDBhHNq2UuUyYpeueE6jemkgkVAMAndLStWzf,196959537
647712db44593c7a129f17ca,1685520834,finalized,null,,null,GxW5uotahvwzBWitzNBrpdbDn7iKrPHM11sCM3SqyAJtuPJSHTZxoapM2NfyGiHfZi487TRsy4thTp5RuPgdN6Z,196959537
647712db44593c7a129f17cb,1685520811,finalized,null,,null,5J5r6uykZpEP6vMiE3fUAx4VQYG6E4zhe74dNpGPJbc4uPuqDBpeGNJCyvoKeD6gb1xNs3yZEuzMoybcfWQvWcS2,196959484
647712db44593c7a129f17cc,1685520556,finalized,null,,null,3EXBKx1vScCZoP7VxKh9cJ2nFBqmepvJ8ytotjaorVHMWMj2dtmch5QGeNgWCvpSxyimjT2TuuGcNBd9xCp8Vjy7,196958938
647712db44593c7a129f17cd,1685520357,finalized,null,,null,bewUPdreSzS6J4SFU3hzgEiuG25zttPcqMvGGUcZZUabiqsZ229Q1cH6cAxcuJqBjyhaLY7jVfwrTAUnchxYJYQ,196958527
647712db44593c7a129f17ce,1685520241,finalized,null,,null,UfFViN5u3C3PsATg1K5ppS3ESfxge39A7p6zJBrhcjWAytBRwMWcigrscLKS4xZ3pzseWxXriSMzgCWzoa1HosQ,196958275
647712db44593c7a129f17cf,1685520027,finalized,null,,null,4fLsRtCvzHWfADbUpXUFmrXruMjB9oSsvbCku4PhWHPYxP66XhP6wK4kx73FeazMLMirf7VgqYEKyPUvfmj66nx,196957824
647712db44593c7a129f17d0,1685519973,finalized,null,,null,52czWqAH57gF3qhvWqZAqxfNxpxhTvBdVcPJG29wJmCFPXHVSDPhbyBKF8y7j4CEptbJAfCbuzurbSUcKgr1sfVb,196957715
647712db44593c7a129f17d1,1685519831,finalized,null,,null,3vi3Mv8BVUb3H3pNDPd8tF3psewuP6Yh5Us6B8NeVqz9wYqdEBuM9JXBnqeZwX39t2zfeLMQQbKNg79DmY3X9vR8,196957411
647712db44593c7a129f17d2,1685519831,finalized,null,,null,WK6iZGBbuhzMYJJkhZVrsZzVb3NEf4jDHpi4tqcnreh5E7PDwowh7Rhw3gpMyD6TDNqepAFMXPdkNB9AtXfkhwS,196957411
647712db44593c7a129f17d3,1685518629,finalized,null,,null,UkiWYDKGZGUi1XreyEY9UBjJiqgiEswLixzU69tznt6P16KypPKbYzorzsqVqdpxUDatrgDe8qbfFWL8KzTvU48,196954807
647712db44593c7a129f17d4,1685518566,finalized,null,,null,3pejVEuEyp8j2mq5zaX64nCFMHjFL5DoWutCbXvr4iWQYBCGQ7ZFEppshsqzFvWsa2aU7EMrXvtrtpN9AXrvyWy,196954668
647712db44593c7a129f17d5,1685517743,finalized,null,,null,2QmsNYby4ypKDCE5Qc6vPnPm7L2yFs8nxsdYwn8X4M9z5gqcYMA21msTmN9q7qkK4hUJKvYL6fPRnsLP372S1VsE,196952924
647712db44593c7a129f17d6,1685517340,finalized,null,,null,Lv5y2MC7ZmvQVaar6mBsoS1AoGVyfwZVtJ6g8JEumnfrQwNarwgQqkWvBPeDtedmw51YkA4q1yVr4kYAjm6MZRe,196952043
647712db44593c7a129f17d7,1685517295,finalized,null,,null,27ZGnbfuBCFfaXR5q8rqwvTa1PEDEw6SNdS8Z5gjzteYfJ2Po5HhPp8cPU85bzz4wVdrisM6ZP9hbxCbsg7nfcuQ,196951950
647712db44593c7a129f17d8,1685517131,finalized,null,,null,2mp56AgPR3ay9cy3hQtdo4jTtfKSbYs6KPpJKg9ExZJX4VDVmohWpMo963unWvym8tU5mKMw4KXjZEuExupojX7X,196951593
647712db44593c7a129f17d9,1685516855,finalized,null,,null,37aT8KfaaXJimqdsQPNXtw7rYuzT9hJV11BYUr5oP6HLWB8VtPCsyJ4J9oETb7kdQLa1ibELFRXHE7RcpjeNiCWJ,196950981
647712db44593c7a129f17da,1685516801,finalized,null,,null,2DtL6FJrx5wiwgT8VfuUm7pCQFrGoPG5d73sa4ZhPgKAQKLjtLZ82Z4X2RXTU51vfotrpiisATHgmhp1bbrWcwv6,196950862
647712db44593c7a129f17db,1685516626,finalized,null,,null,2KZzEqUau9xpv7umsdhY6YQ66WHTivfvY9wPjipFBFVfWSJPbKbmKJDUfDyhLfAgswLFrJPD4Bw3uXK8RqjKt5YN,196950478
647712db44593c7a129f17dc,1685513233,finalized,null,,null,3hGVnukUC4H5hAVkyvCdfbJ5bi7MDQriJnyKGdqkHaLHFnLB9n9id197ETMn2B9hBJmxJACrXybLtL6myoGWFNKW,196943179
647712db44593c7a129f17dd,1685513121,finalized,null,,null,2jGsHinbGvcXubPdUmxxS724BvWaGmvMuGoS1kuUCqe3cyHKqBW91GbKKTAvgXReht9Kt7m5fERD99Sq57tvRPeb,196942942
647712db44593c7a129f17de,1685513088,finalized,null,,null,4fvhr2UYMjjGRXQmUhngwMi6pMZGJpwkBUyxyHEpnsTJgiCtj8neuyG9SAL1YbpMfTJonoJ5RXd2rpotrbjTA6A3,196942874
647712db44593c7a129f17df,1685513088,finalized,null,,null,37vwnNKaRGGcVFssXEuAW8UHLnb6ALwNMictmtH46MDbMMufjkzfGhkNmkrHHTFvDrXWqh1a7LErZsrjxLR1T6P2,196942874
647712db44593c7a129f17e0,1685513087,finalized,null,,null,5ifC5HamipMSEzt6tAhJm7By6fq2gmZG6YzmVEBmK3qJV9ULtAkK8Ho8pdGwCzk22im2E8k5TnvSp4kTAUrSaKbt,196942873
647712db44593c7a129f17e1,1685513087,finalized,null,,null,5Em3bovg4HTSGeRKzLFDmoAMq8YEsgQkCFuK3Svhk6FPkqhrypNTB4xStYeUzBLph9ivLeRXwtUjwAHsS2QkQxqC,196942873
647712db44593c7a129f17e2,1685513087,finalized,null,,null,Z6d13NhZpaWo25gDEpXLZdZoaom1Ri5yxgsbfH5vwxidcLMpfhpDDiVP6eDGEwCY5pyQBUSECsuNwpTgSjbShBQ,196942873
